kind,cutoff,class,support,predicted,true_positive,precision,recall,coverage_all,none_fp_count,none_fp,total_coverage_all,total_correct_positive_recall,total_none_fp
per_class,0.5,supersedes,106,126,100,0.7936507936507936,0.9433962264150944,0.21875,25,0.09652509652509653,0.6111111111111112,0.9716088328075709,0.15444015444015444
per_class,0.5,cancels,72,80,71,0.8875,0.9861111111111112,0.1388888888888889,6,0.023166023166023165,0.6111111111111112,0.9716088328075709,0.15444015444015444
per_class,0.5,completes,70,76,69,0.9078947368421053,0.9857142857142858,0.13194444444444445,7,0.02702702702702703,0.6111111111111112,0.9716088328075709,0.15444015444015444
per_class,0.5,reinstates,69,70,68,0.9714285714285714,0.9855072463768116,0.12152777777777778,2,0.007722007722007722,0.6111111111111112,0.9716088328075709,0.15444015444015444
per_class,0.51,supersedes,106,126,100,0.7936507936507936,0.9433962264150944,0.21875,25,0.09652509652509653,0.609375,0.9716088328075709,0.15057915057915058
per_class,0.51,cancels,72,80,71,0.8875,0.9861111111111112,0.1388888888888889,6,0.023166023166023165,0.609375,0.9716088328075709,0.15057915057915058
per_class,0.51,completes,70,76,69,0.9078947368421053,0.9857142857142858,0.13194444444444445,7,0.02702702702702703,0.609375,0.9716088328075709,0.15057915057915058
per_class,0.51,reinstates,69,69,68,0.9855072463768116,0.9855072463768116,0.11979166666666667,1,0.003861003861003861,0.609375,0.9716088328075709,0.15057915057915058
per_class,0.52,supersedes,106,125,99,0.792,0.9339622641509434,0.2170138888888889,25,0.09652509652509653,0.6059027777777778,0.9684542586750788,0.15057915057915058
per_class,0.52,cancels,72,79,71,0.8987341772151899,0.9861111111111112,0.1371527777777778,6,0.023166023166023165,0.6059027777777778,0.9684542586750788,0.15057915057915058
per_class,0.52,completes,70,76,69,0.9078947368421053,0.9857142857142858,0.13194444444444445,7,0.02702702702702703,0.6059027777777778,0.9684542586750788,0.15057915057915058
per_class,0.52,reinstates,69,69,68,0.9855072463768116,0.9855072463768116,0.11979166666666667,1,0.003861003861003861,0.6059027777777778,0.9684542586750788,0.15057915057915058
per_class,0.53,supersedes,106,124,98,0.7903225806451613,0.9245283018867925,0.2152777777777778,25,0.09652509652509653,0.6041666666666666,0.9652996845425867,0.15057915057915058
per_class,0.53,cancels,72,79,71,0.8987341772151899,0.9861111111111112,0.1371527777777778,6,0.023166023166023165,0.6041666666666666,0.9652996845425867,0.15057915057915058
per_class,0.53,completes,70,76,69,0.9078947368421053,0.9857142857142858,0.13194444444444445,7,0.02702702702702703,0.6041666666666666,0.9652996845425867,0.15057915057915058
per_class,0.53,reinstates,69,69,68,0.9855072463768116,0.9855072463768116,0.11979166666666667,1,0.003861003861003861,0.6041666666666666,0.9652996845425867,0.15057915057915058
