kind,cutoff,class,support,predicted,true_positive,precision,recall,coverage_all,none_fp_count,none_fp,total_coverage_all,total_correct_positive_recall,total_none_fp
per_class,0.5,supersedes,106,136,97,0.7132352941176471,0.9150943396226415,0.2361111111111111,39,0.15057915057915058,0.6440972222222222,0.9621451104100947,0.24324324324324326
per_class,0.5,cancels,72,84,71,0.8452380952380952,0.9861111111111112,0.14583333333333334,10,0.03861003861003861,0.6440972222222222,0.9621451104100947,0.24324324324324326
per_class,0.5,completes,70,78,69,0.8846153846153846,0.9857142857142858,0.13541666666666666,9,0.03474903474903475,0.6440972222222222,0.9621451104100947,0.24324324324324326
per_class,0.5,reinstates,69,73,68,0.9315068493150684,0.9855072463768116,0.1267361111111111,5,0.019305019305019305,0.6440972222222222,0.9621451104100947,0.24324324324324326
per_class,0.51,supersedes,106,135,97,0.7185185185185186,0.9150943396226415,0.234375,38,0.14671814671814673,0.6423611111111112,0.9621451104100947,0.23938223938223938
per_class,0.51,cancels,72,84,71,0.8452380952380952,0.9861111111111112,0.14583333333333334,10,0.03861003861003861,0.6423611111111112,0.9621451104100947,0.23938223938223938
per_class,0.51,completes,70,78,69,0.8846153846153846,0.9857142857142858,0.13541666666666666,9,0.03474903474903475,0.6423611111111112,0.9621451104100947,0.23938223938223938
per_class,0.51,reinstates,69,73,68,0.9315068493150684,0.9855072463768116,0.1267361111111111,5,0.019305019305019305,0.6423611111111112,0.9621451104100947,0.23938223938223938
per_class,0.52,supersedes,106,133,97,0.7293233082706767,0.9150943396226415,0.2309027777777778,36,0.138996138996139,0.6388888888888888,0.9621451104100947,0.23166023166023167
per_class,0.52,cancels,72,84,71,0.8452380952380952,0.9861111111111112,0.14583333333333334,10,0.03861003861003861,0.6388888888888888,0.9621451104100947,0.23166023166023167
per_class,0.52,completes,70,78,69,0.8846153846153846,0.9857142857142858,0.13541666666666666,9,0.03474903474903475,0.6388888888888888,0.9621451104100947,0.23166023166023167
per_class,0.52,reinstates,69,73,68,0.9315068493150684,0.9855072463768116,0.1267361111111111,5,0.019305019305019305,0.6388888888888888,0.9621451104100947,0.23166023166023167
per_class,0.53,supersedes,106,133,97,0.7293233082706767,0.9150943396226415,0.2309027777777778,36,0.138996138996139,0.6388888888888888,0.9621451104100947,0.23166023166023167
per_class,0.53,cancels,72,84,71,0.8452380952380952,0.9861111111111112,0.14583333333333334,10,0.03861003861003861,0.6388888888888888,0.9621451104100947,0.23166023166023167
per_class,0.53,completes,70,78,69,0.8846153846153846,0.9857142857142858,0.13541666666666666,9,0.03474903474903475,0.6388888888888888,0.9621451104100947,0.23166023166023167
per_class,0.53,reinstates,69,73,68,0.9315068493150684,0.9855072463768116,0.1267361111111111,5,0.019305019305019305,0.6388888888888888,0.9621451104100947,0.23166023166023167
