kind,cutoff,class,support,predicted,true_positive,precision,recall,coverage_all,none_fp_count,none_fp,total_coverage_all,total_correct_positive_recall,total_none_fp
per_class,0.5,supersedes,106,134,100,0.746268656716418,0.9433962264150944,0.2326388888888889,32,0.12355212355212356,0.5989583333333334,0.9589905362776026,0.14671814671814673
per_class,0.5,cancels,72,71,69,0.971830985915493,0.9583333333333334,0.1232638888888889,2,0.007722007722007722,0.5989583333333334,0.9589905362776026,0.14671814671814673
per_class,0.5,completes,70,72,68,0.9444444444444444,0.9714285714285714,0.125,3,0.011583011583011582,0.5989583333333334,0.9589905362776026,0.14671814671814673
per_class,0.5,reinstates,69,68,67,0.9852941176470589,0.9710144927536232,0.11805555555555555,1,0.003861003861003861,0.5989583333333334,0.9589905362776026,0.14671814671814673
per_class,0.51,supersedes,106,134,100,0.746268656716418,0.9433962264150944,0.2326388888888889,32,0.12355212355212356,0.5989583333333334,0.9589905362776026,0.14671814671814673
per_class,0.51,cancels,72,71,69,0.971830985915493,0.9583333333333334,0.1232638888888889,2,0.007722007722007722,0.5989583333333334,0.9589905362776026,0.14671814671814673
per_class,0.51,completes,70,72,68,0.9444444444444444,0.9714285714285714,0.125,3,0.011583011583011582,0.5989583333333334,0.9589905362776026,0.14671814671814673
per_class,0.51,reinstates,69,68,67,0.9852941176470589,0.9710144927536232,0.11805555555555555,1,0.003861003861003861,0.5989583333333334,0.9589905362776026,0.14671814671814673
per_class,0.52,supersedes,106,134,100,0.746268656716418,0.9433962264150944,0.2326388888888889,32,0.12355212355212356,0.5989583333333334,0.9589905362776026,0.14671814671814673
per_class,0.52,cancels,72,71,69,0.971830985915493,0.9583333333333334,0.1232638888888889,2,0.007722007722007722,0.5989583333333334,0.9589905362776026,0.14671814671814673
per_class,0.52,completes,70,72,68,0.9444444444444444,0.9714285714285714,0.125,3,0.011583011583011582,0.5989583333333334,0.9589905362776026,0.14671814671814673
per_class,0.52,reinstates,69,68,67,0.9852941176470589,0.9710144927536232,0.11805555555555555,1,0.003861003861003861,0.5989583333333334,0.9589905362776026,0.14671814671814673
per_class,0.53,supersedes,106,134,100,0.746268656716418,0.9433962264150944,0.2326388888888889,32,0.12355212355212356,0.5972222222222222,0.9589905362776026,0.14285714285714285
per_class,0.53,cancels,72,70,69,0.9857142857142858,0.9583333333333334,0.12152777777777778,1,0.003861003861003861,0.5972222222222222,0.9589905362776026,0.14285714285714285
per_class,0.53,completes,70,72,68,0.9444444444444444,0.9714285714285714,0.125,3,0.011583011583011582,0.5972222222222222,0.9589905362776026,0.14285714285714285
per_class,0.53,reinstates,69,68,67,0.9852941176470589,0.9710144927536232,0.11805555555555555,1,0.003861003861003861,0.5972222222222222,0.9589905362776026,0.14285714285714285
